,PRODUCTID,CATEGORYNAME,PRODUCTNAME,PRODUCTDESC,PRODUCTCOLOR,PRODUCTWIDTH,PRODUCTHEIGHT,PRODUCTDEPTH,PRODUCTWEIGHT,PRODUCTPRICE,PRODUCTWARRANTY,MATERIALTYPE,SUPPLIERID,SUPPLIERNAME,SUPPLIERLOCATION,PICTUREURL,PRODUCTRATING
1,FR-3106353,Chair,TechED King Pink Chair,Pink Velvette Leather with comfortable padding 42 inch wide x 58 inch deep x 76 inch high  Chair Comes with standard 1 Year warranty. Luxury Club Chair. This is great for the home or the office. Comfortable padding. This chair will exceed your expectations at every level.,Pink,42,76,58,25,119.99,1,Wood/Fabric,SP-201230,TechEd_YoYo Mart,Berlin,TE_Chair1.jpg,0.0
2,FR-3106354,Chair,TechED Cool Umbrella Chair,Umbrella Chair has won the innovation of the year award for its exquisite design this chair is 42 inch wide x 72 inch deep x 96 inch high. It comes with a standard warranty of 1 Year,Grey,42,96,72,30,99.99,1,Alloy/Wood,SP-202289,TechEd_Wood Supplies,Frankfurt,TE_Chair2.jpg,0.0
3,FR-3106355,Chair,TechED Blue Lite Chair,Blue cushion chair with wooden legs 32 inch wide x 60 inch deep x 64 inch high cones with a standard warranty of 1 year,Blue,32,64,60,18,89.99,1,Wood/Fabric,SP-430009,TechEd_Furn Makers,Brussels,TE_Chair3.jpg,0.0
4,FR-3106356,Chair,TechED Royal Red Chair,Red Leather with comfortable padding 46 inch wide x 61 inch deep x 79 inch high  Chair Comes with standard 1 Year warranty. Luxury Club Chair. This is great for the home or the office. Comfortable padding. This chair will exceed your expectations at every level.,Red,46,79,61,22,139.99,1,Wood/Leather,SP-298004,TechEd_Dream Furnitures,Paris,TE_Chair4.jpg,0.0
5,FR-3204562,Sofa,TechED Grey Sofa,Sofa so soft the cushions are made of soft foam imported from Italy. 92 inch wide x 62 inch deep x 72 inch high comes with a standard warranty of 2 years,Grey,92,72,62,122,649.99,2,Foam/Wood,SP-201230,TechEd_YoYo Mart,Berlin,TE_Sofa1.jpg,0.0
6,FR-3204563,Sofa,TechED Beige Sofa,Perfect mix of comfort and contemporary flair with thick pillow soft armrest 82 inch wide x 59 inchdeep x 76 inch high comes with a standard warranty of 2 years,Beige,82,76,59,132,729.99,2,Foam/Wood,SP-202289,TechEd_Wood Supplies,Frankfurt,TE_Sofa2.jpg,0.0
7,FR-3204564,Sofa,TechED Red Sofa,Red Sofa with contrasting pillows is an absolute need for your living room  98 inch wide x 68 inch deep x 78 inch high comes with a standard warranty of 2 years,Red,98,78,68,124,579.99,2,Foam/Wood,SP-430009,TechEd_Furn Makers,Brussels,TE_Sofa3.jpg,0.0
8,FR-3204565,Sofa,TechED Blue Sofa,Feast your eyes with the Blue Sofa the blue fabric is an ultimate choice for a trendy look. Lamps are not included 68 inch wide x 66 inch deep x 68 inch high sofa comes with a standard waranty of 2 years,Blue,68,68,66,112,899.99,2,Foam/Wood,SP-298004,TechEd_Dream Furnitures,Paris,TE_Sofa4.jpg,0.0
9,FR-3303234,Dining Table,TechED Dark Br Dining Table,Round Dining table for 4 comes with a rustic teak finish contemporary design. 62 inch deep x 88 inch high comes with a standard warranty of 3 years,Dark Brown,62,88,,60,129.99,3,Wood,SP-201230,TechEd_YoYo Mart,Berlin,TE_Table1.jpg,0.0
10,FR-3303235,Dining Table,TechED Brown Dining Table,A perfect dining table to dine 6 people at a time with casual white chairs. 68 inch wide x 78 inch high comes with a standard warranty of 3 years,Brown,68,78,,66,149.99,3,Wood,SP-202289,TechEd_Wood Supplies,Frankfurt,TE_Table2.jpg,0.0
11,FR-3303236,Dining Table,TechED White Dining Table,Big family bigger dining table. This table can accommodate 8 person. This comes with a standard warranty of 3 years,White,66,69,,64,99.99,3,Polymer,SP-430009,TechEd_Furn Makers,Brussels,TE_Table3.jpg,0.0
12,FR-3303237,Dining Table,TechED Black Dining Table,Metal chairs with Granite table top pitch black in color is what you need for your small family 64 inch wide x 72 inch high comes with a standard warranty of 3 years,Black,64,72,,58,119.99,3,Rose Wood,SP-298004,TechEd_Dream Furnitures,Paris,TE_Table4.jpg,4.7